S&P 500 Index | Index Constituents Analysis                                25-Oct-2020 17:25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Index Constituents Analysis,,,,,,,,,,,,,,,
"Report: Summary ,Currency: USD",,,,,,,,,,,,,,,
1 - 505 of 505,,,,,,,,,,,,,,,
Name,RIC,ACT_FLAG1,Last,PE,Est. PE,EPS,Ccy,DPS,Ccy,Div. Yld (%),ROE (%),P/Book,P/Sales,Weight %,Mcap
U.S. Bancorp,USB.N,,40.66 c,9.78,13.46,4.16,USD,1.68,USD,4.13,--,1.18,2.68,--,"61,248,700,022.54"
Truist Financial Corp,TFC.N,,43.94 c,--,12.21,3.71,USD,1.80,USD,4.10,--,--,--,--,"59,213,936,472.08"
Micron Technology Inc,MU.OQ,,52.85 c,22.25,17.75,2.38,USD,--,--,--,7.18,1.51,2.74,--,"58,833,772,077.15"
Humana Inc,HUM.N,,444.31 c,22.11,23.70,20.09,USD,2.50,USD,0.56,--,4.88,0.91,--,"58,777,342,918.09"
CME Group Inc,CME.OQ,,163.86 c,27.73,23.82,5.91,USD,3.40,USD,2.07,8.13,2.25,12.07,--,"58,764,089,969.04"
Ecolab Inc,ECL.N,,204.87 c,38.52,49.97,5.32,USD,1.88,USD,0.92,18.65,6.73,3.92,--,"58,466,778,854.25"
Chubb Ltd,CB.N,,129.02 c,13.29,18.25,9.71,USD,3.12,USD,2.42,--,1.05,1.70,--,"58,235,227,256.82"
Marsh & McLennan Companies Inc,MMC.N,,113.7 c,33.35,23.69,3.41,USD,1.86,USD,1.64,22.77,7.39,3.46,--,"57,592,383,115.50"
Autodesk Inc,ADSK.OQ,,254.42 c,252.60,66.52,1.01,USD,--,--,--,--,--,17.04,--,"55,789,009,738.86"
Applied Materials Inc,AMAT.OQ,,60.95 c,21.48,14.90,2.84,USD,0.88,USD,1.44,35.62,6.78,3.81,--,"55,664,584,465.80"
Intercontinental Exchange Inc,ICE.N,,98.95 c,28.92,22.44,3.42,USD,1.20,USD,1.21,11.22,3.22,10.68,--,"55,535,525,716.75"
Progressive Corp,PGR.N,,94.62 c,14.09,13.24,6.72,USD,0.40,USD,0.42,--,4.05,1.42,--,"55,390,255,245.72"
Vertex Pharmaceuticals Inc,VRTX.OQ,,211.58 c,46.87,21.55,4.51,USD,--,--,--,22.37,9.06,13.24,--,"55,109,678,527.72"
Norfolk Southern Corp,NSC.N,,215.4 c,21.02,24.01,10.25,USD,3.76,USD,1.75,17.82,3.62,4.86,--,"54,950,531,803.80"
Dollar General Corp,DG.N,,215.44 c,32.46,21.08,6.64,USD,1.44,USD,0.67,26.11,8.00,1.93,--,"53,651,819,897.12"
Boston Scientific Corp,BSX.N,,37.17 c,87.68,36.80,0.42,USD,--,--,--,5.29,3.83,4.95,--,"53,178,177,409.56"
Global Payments Inc,GPN.N,,176.99 c,81.85,27.76,2.16,USD,0.78,USD,0.44,2.70,1.90,10.78,--,"52,963,068,127.20"
General Motors Co,GM.N,,36.83 c,8.05,13.39,4.57,USD,0.00,USD,0.00,16.69,1.26,0.38,--,"52,707,284,536.96"
Northrop Grumman Corp,NOC.N,,308.43 c,23.32,13.56,13.22,USD,5.80,USD,1.88,26.44,5.83,1.52,--,"51,420,210,328.26"
Lam Research Corp,LRCX.OQ,,353.92 c,23.43,15.76,15.10,USD,5.20,USD,1.47,45.74,9.93,5.11,--,"51,349,525,140.48"
Moody's Corp,MCO.N,,271.88 c,36.63,28.71,7.42,USD,2.24,USD,0.82,265.32,83.39,10.57,--,"51,031,876,000.00"
Edwards Lifesciences Corp,EW.N,,80.41 c,48.77,42.10,1.65,USD,--,--,--,28.80,12.05,11.50,--,"49,994,160,118.21"
Waste Management Inc,WM.N,,116.7 c,29.85,30.23,3.91,USD,2.18,USD,1.87,25.03,6.98,3.19,--,"49,301,220,522.90"
PNC Financial Services Group Inc,PNC.N,,114.81 c,10.07,7.08,11.40,USD,4.60,USD,4.01,--,0.99,2.71,--,"48,737,172,323.31"
Newmont Corporation,NEM.N,,60.47 c,15.49,24.09,3.90,USD,1.00,USD,1.65,18.03,2.27,4.99,--,"48,614,756,664.03"
Aon PLC,AON.N,,207.31 c,32.54,21.52,6.37,USD,1.84,USD,0.89,40.74,14.22,4.36,--,"47,979,132,118.81"
Illumina Inc,ILMN.OQ,,323.55 c,48.11,70.80,6.72,USD,--,--,--,23.94,10.27,13.37,--,"47,354,898,360.60"
Kimberly-Clark Corp,KMB.N,,136.88 c,21.93,17.92,6.24,USD,4.28,USD,3.13,--,--,2.52,--,"46,557,913,549.20"
HCA Healthcare Inc,HCA.N,,136.59 c,13.57,12.43,10.07,USD,0.29,USD,0.21,--,--,0.90,--,"46,171,968,447.00"
Analog Devices Inc,ADI.OQ,,124.2 c,34.06,25.93,3.65,USD,2.48,USD,2.00,11.86,3.92,7.66,--,"45,899,323,061.40"
American Electric Power Company Inc,AEP.OQ,,91.88 c,23.69,21.22,3.88,USD,2.96,USD,3.22,9.92,2.32,2.93,--,"45,607,968,833.76"
Roper Technologies Inc,ROP.N,,428.6 c,25.48,34.15,16.82,USD,2.05,USD,0.48,20.52,4.73,8.36,--,"44,879,054,451.80"
Eaton Corporation PLC,ETN.N,,109.81 c,20.90,27.59,5.25,USD,2.92,USD,2.66,13.74,2.73,2.05,--,"43,934,981,000.00"
Dupont De Nemours Inc,DD.N,,59.82 c,--,19.68,-0.95,USD,1.20,USD,2.01,-1.05,1.07,2.04,--,"43,897,565,536.50"
Monster Beverage Corp,MNST.OQ,,80.39 c,39.66,35.49,2.03,USD,--,--,--,28.47,10.16,10.09,--,"42,397,400,213.55"
Emerson Electric Co,EMR.N,,70.02 c,18.84,21.22,3.72,USD,2.00,USD,2.86,26.85,5.08,2.28,--,"41,843,386,308.42"
Public Storage,PSA.N,,235.72 c,32.32,34.59,7.29,USD,8.00,USD,3.39,16.73,4.55,14.47,--,"41,204,514,130.24"
Exelon Corp,EXC.OQ,,42.2 c,14.00,14.16,3.01,USD,1.53,USD,3.63,9.33,1.28,1.19,--,"41,124,064,369.00"
Baxter International Inc,BAX.N,,81.09 c,52.15,26.59,1.55,USD,0.98,USD,1.21,10.26,5.21,3.61,--,"41,050,331,147.88"
Digital Realty Trust Inc,DLR.N,,152.6 c,64.83,103.11,2.35,USD,4.48,USD,2.94,5.87,4.16,12.79,--,"41,048,602,512.40"
Biogen Inc,BIIB.OQ,,265 c,8.43,7.94,31.42,USD,--,--,--,44.64,3.06,2.84,--,"40,778,623,205.00"
General Dynamics Corp,GD.N,,140.7 c,11.75,12.73,11.98,USD,4.40,USD,3.13,27.53,2.97,1.03,--,"40,371,393,745.20"
Cognizant Technology Solutions Corp,CTSH.OQ,,74.12 c,22.53,20.88,3.29,USD,0.88,USD,1.19,16.41,3.65,2.39,--,"40,190,883,797.04"
Twitter Inc,TWTR.N,,50.44 c,27.03,-50.69,1.87,USD,--,--,--,18.90,4.58,11.53,--,"39,895,465,189.32"
DexCom Inc,DXCM.OQ,,411 c,375.23,151.10,1.10,USD,--,--,--,13.08,44.58,26.66,--,"39,350,047,077.00"
Centene Corp,CNC.N,,67.42 c,21.46,13.82,3.14,USD,--,--,--,11.26,3.11,0.52,--,"39,067,836,319.38"
Sempra Energy,SRE.N,,133.86 c,22.31,17.56,6.00,USD,4.18,USD,3.12,9.89,1.94,3.58,--,"38,720,299,961.64"
Las Vegas Sands Corp,LVS.N,,50.68 c,14.48,-24.09,3.50,USD,0.00,USD,0.00,49.64,7.46,2.82,--,"38,709,552,612.36"
Kraft Heinz Co,KHC.OQ,,31.37 c,19.84,11.76,1.58,USD,1.60,USD,5.10,3.75,0.74,1.54,--,"38,352,290,431.04"
General Mills Inc,GIS.N,,61.78 c,17.37,16.97,3.56,USD,2.04,USD,3.30,28.87,4.69,2.14,--,"37,768,205,500.12"
eBay Inc,EBAY.OQ,,53.79 c,25.69,15.07,2.09,USD,0.64,USD,1.19,39.17,13.12,3.49,--,"37,646,605,229.64"
Xcel Energy Inc,XEL.OQ,,71.47 c,27.09,25.71,2.64,USD,1.72,USD,2.41,10.78,2.84,3.26,--,"37,546,214,466.88"
Chipotle Mexican Grill Inc,CMG.N,,1339.08 c,108.21,121.70,12.38,USD,--,--,--,22.41,22.25,6.70,--,"37,450,887,285.00"
MetLife Inc,MET.N,,40.94 c,6.76,7.50,6.06,USD,1.84,USD,4.49,--,0.56,0.53,--,"37,159,701,317.10"
L3harris Technologies Inc,LHX.N,,171.8 c,--,15.02,3.68,USD,3.40,USD,1.98,--,1.64,--,--,"37,142,368,689.20"
Align Technology Inc,ALGN.OQ,,469.56 c,84.95,99.06,5.53,USD,--,--,--,34.07,27.48,15.37,--,"36,995,074,869.48"
Electronic Arts Inc,EA.OQ,,126.77 c,12.31,23.18,10.30,USD,--,--,--,47.51,4.91,6.61,--,"36,610,772,237.55"
IDEXX Laboratories Inc,IDXX.OQ,,429.66 c,87.94,75.64,4.89,USD,--,--,--,509.31,205.92,15.18,--,"36,544,592,519.82"
Dow Inc,DOW.N,,48.53 c,--,34.68,-2.43,USD,2.80,USD,5.77,-7.84,2.66,0.84,--,"35,997,213,009.86"
Amphenol Corp,APH.N,,119.75 c,31.92,33.17,3.75,USD,1.16,USD,0.97,27.03,7.89,4.34,--,"35,730,629,344.25"
Capital One Financial Corp,COF.N,,77.99 c,7.08,39.69,11.02,USD,0.40,USD,0.51,--,0.61,1.25,--,"35,613,023,312.35"
